ID	lat	long	Conc
KENT-001	46.794234	-65.056907	0.120220142
KENT-002	46.84755	-65.118455	0.097930606
KENT-003	46.70715	-64.934352	0.076262055
KENT-004	46.712513	-65.06931	0.204542169
KENT-005	46.677739	-64.963449	0.26571898
KENT-006	46.666356	-64.991875	0.022030616
KENT-007	46.682721	-64.976735	0.027013561
KENT-009	46.748573	-65.227422	0.056852771
KENT-010	46.74135	-65.434328	0.229352576
KENT-011	46.810222	-65.342131	0.303432627
KENT-012	46.708281	-64.889879	0.195358955
KENT-013	46.794218	-65.059309	0.286859698
KENT-014	46.697848	-64.938836	0.017450358
KENT-015	46.471363	-65.197246	0.077907162
KENT-016	46.548968	-65.085681	0.07504972
KENT-017	46.521878	-65.06744	0.049914248
KENT-018	46.564285	-64.900729	0.304078389
KENT-019	46.589109	-65.093238	0.023625124
KENT-020	46.679633	-64.866971	0.139662769
KENT-021	46.712578	-65.302821	0.158475069
KENT-022	46.498204	-65.269628	NA
KENT-023	46.512438	-65.081378	0.045973323
KENT-024	46.541714	-65.051541	0.071906709
KENT-025	46.470264	-65.244827	0.045118226
KENT-026	46.470264	-65.244827	NA
KENT-027	46.642589	-65.049906	0.045202779
KENT-028	46.597400	-64.906502	0.107835195
KENT-029	46.67465	-64.977647	0.056034379
KENT-030	46.20472	-64.573253	0.172948161
KENT-031	46.708677	-65.041296	0.013954131
KENT-032	46.674849	-64.977429	0.080809385
KENT-033	46.520814	-65.072847	0.019014349
KENT-034	46.529928	-65.062513	0.014708379
KENT-035	46.518195	-65.113599	0.028271726
KENT-036	46.698664	-64.944589	0.067387427
KENT-037	46.740116	-64.984051	0.068274636
KENT-038	46.666889	-64.848186	0.091361126
KENT-039	46.708596	-65.045175	NA
KENT-040	46.708209	-64.902928	0.069709415
KENT-041	46.539604	-64.714545	0.029962255
KENT-042	46.73138	-64.96338	0.061574104
KENT-043	46.731338	-64.976928	0.201415128
KENT-045	46.613783	-64.785074	0.125602989
KENT-046	46.400975	-64.659517	0.118225576
KENT-047	46.333102	-64.617319	0.020241311
KENT-048	46.348248	-64.615988	0.054697022
Kings-001	45.77861	-65.379799	0.082183853
Kings-002	45.775742	-65.386254	0.061074738
Kings-003	45.766407	-65.418681	0.071919971
Kings-004	45.807869	-65.297456	0.0379083
Kings-005	45.789741	-65.346951	0.114952756
Kings-006	45.796508	-65.341335	0.018139532
Kings-007	45.796434	-65.341669	0.023412953
Hills-001	45.946705	-64.67309	NA
Hills-002	45.943966	-64.697831	NA
Hills-003	45.891705	-64.628625	NA
Hills-004	45.887382	-64.651845	0.019771525
Hills-005	45.890274	-64.632395	0.039789279
Hills-006	45.883184	-64.612948	0.030651777
Hills-007	45.899926	-64.631467	NA
Hills-008	45.892377	-64.62367	0.114390651
Hills-009	45.896437	-64.632783	1.507482014
Hills-010	45.961602	-64.697128	0.098430873
Hills-011	45.966785	-64.704278	0.175512006
Hills-012	45.903271	-64.627868	0.159324986
Hills-013	45.898100	-64.624603	NA
Hills-014	45.911726	-64.649937	NA
Hills-015	45.946705	-64.67309	0.052539867
